id,firstName,lastName,pos_F,pos_D,pos_G,hand_R,hand_L
8474641,Adam,Henrique,1,0,0,0,1
8477527,Ross,Johnston,1,0,0,0,1
8478366,Frank,Vatrano,1,0,0,0,1
8477462,Robert,Hagg,0,0,0,0,1
8477951,Nick,Schmaltz,1,0,0,1,0
8482655,J.J.,Moser,0,0,0,0,1
8479976,Juuso,Valimaki,0,0,0,0,1
8478498,Jake,DeBrusk,1,0,0,0,1
8478401,Pavel,Zacha,1,0,0,0,1
8476878,Zemgus,Girgensons,1,0,0,0,1
8478109,Victor,Olofsson,1,0,0,0,1
8479420,Tage,Thompson,1,0,0,1,0
8482671,Owen,Power,0,0,0,0,1
8478047,Michael,Bunting,1,0,0,0,1
8470613,Brent,Burns,0,0,0,1,0
8475200,Dmitry,Orlov,0,0,0,0,1
8476432,Boone,Jenner,1,0,0,0,1
8480893,Kirill,Marchenko,1,0,0,1,0
8482705,Cole,Sillinger,1,0,0,0,1
8476456,Jonathan,Huberdeau,1,0,0,0,1
8481028,Martin,Pospisil,1,0,0,0,1
8481068,Yegor,Sharangovich,1,0,0,0,1
8480084,Nick,DeSimone,0,0,0,1,0
8475791,Taylor,Hall,1,0,0,0,1
8480798,Philipp,Kurashev,1,0,0,0,1
8479390,Taylor,Raddysh,1,0,0,1,0
8482117,Lukas,Reichel,1,0,0,0,1
8477482,Zach,Sanford,1,0,0,0,1
8479525,Ross,Colton,1,0,0,0,1
8478028,Fredrik,Olofsson,1,0,0,0,1
8478452,Caleb,Jones,0,0,0,0,1
8484258,Sam,Malinski,0,0,0,1,0
8481020,Justus,Annunen,0,0,1,0,1
8479992,Michael,Rasmussen,1,0,0,0,1
8482078,Lucas,Raymond,1,0,0,1,0
8473507,Jeff,Petry,0,0,0,1,0
8479312,Alex,Lyon,0,0,1,0,1
8477015,Connor,Brown,1,0,0,1,0
8475786,Zach,Hyman,1,0,0,1,0
8475218,Mattias,Ekholm,0,0,0,0,1
8475171,Oliver,Ekman-Larsson,0,0,0,0,1
8478042,Viktor,Arvidsson,1,0,0,1,0
8482730,Brandt,Clarke,0,0,0,1,0
8477831,Pheonix,Copley,0,0,1,0,1
8478493,Joel,Eriksson Ek,1,0,0,0,1
8475220,Marcus,Foligno,1,0,0,0,1
8482079,Marco,Rossi,1,0,0,0,1
8482122,Brock,Faber,0,0,0,1,0
8471274,Alex,Goligoski,0,0,0,0,1
8482094,Daemon,Hunt,0,0,0,0,1
8481618,Alex,Newhook,1,0,0,0,1
8483515,Juraj,Slafkovsky,1,0,0,0,1
8478477,Mitchell,Stephens,1,0,0,1,0
8482111,Justin,Barron,0,0,0,1,0
8481593,Jayden,Struble,0,0,0,0,1
8476292,Ondrej,Palat,1,0,0,0,1
8476919,Chris,Tierney,1,0,0,0,1
8478399,Jonas,Siegenthaler,0,0,0,0,1
8482146,Luke,Evangelista,1,0,0,1,0
8475158,Ryan,O'Reilly,1,0,0,0,1
8473504,Cal,Clutterbuck,1,0,0,1,0
8475151,Kyle,Palmieri,1,0,0,1,0
8481014,Alexander,Romanov,0,0,0,0,1
8481554,Kaapo,Kakko,1,0,0,0,1
8482109,Alexis,Lafrenière,1,0,0,0,1
8476979,Erik,Gustafsson,0,0,0,0,1
8478078,Rourke,Chartier,1,0,0,0,1
8480064,Josh,Norris,1,0,0,0,1
8480073,Erik,Brannstrom,0,0,0,0,1
8482105,Jake,Sanderson,0,0,0,0,1
8475235,Nicolas,Deslauriers,1,0,0,0,1
8482159,Tyson,Foerster,1,0,0,1,0
8480028,Morgan,Frost,1,0,0,0,1
8482142,Jamie,Drysdale,0,0,0,1,0
8477499,Rasmus,Ristolainen,0,0,0,1,0
8478424,Jansen,Harkins,1,0,0,0,1
8480058,Pierre-Olivier,Joseph,0,0,0,0,1
8475193,Tomas,Tatar,1,0,0,0,1
8480009,Eeli,Tolvanen,1,0,0,0,1
8477505,Alex,Wennberg,1,0,0,0,1
8477473,Justin,Bailey,1,0,0,1,0
8479316,Luke,Kunin,1,0,0,1,0
8481537,Nikita,Okhotiuk,0,0,0,0,1
8478406,Mackenzie,Blackwood,0,0,1,0,1
8477953,Kasperi,Kapanen,1,0,0,1,0
8480281,Alexey,Toropchenko,1,0,0,0,1
8475753,Justin,Faulk,0,0,0,1,0
8476892,Colton,Parayko,0,0,0,1,0
8478519,Anthony,Cirelli,1,0,0,0,1
8478416,Erik,Cernak,0,0,0,1,0
8478178,Darren,Raddysh,0,0,0,1,0
8476883,Andrei,Vasilevskiy,0,0,1,0,1
8477503,Max,Domi,1,0,0,0,1
8482496,Nils,Aman,1,0,0,0,1
8478444,Brock,Boeser,1,0,0,1,0
8481624,Ilya,Mikheyev,1,0,0,0,1
8479425,Filip,Hronek,0,0,0,1,0
8477359,Tucker,Poolman,0,0,0,1,0
8479353,Brett,Howden,1,0,0,0,1
8476448,William,Karlsson,1,0,0,0,1
8478462,Nicolas,Roy,1,0,0,1,0
8479980,Nicolas,Hague,0,0,0,0,1
8481527,Kaedan,Korczak,0,0,0,1,0
8480238,Jiri,Patera,0,0,1,0,1
8480113,Alex,Iafallo,1,0,0,0,1
8479536,Axel,Jonsson-Fjallby,1,0,0,0,1
8480845,Rasmus,Kupari,1,0,0,1,0
8476480,Vladislav,Namestnikov,1,0,0,0,1
8476952,Dominic,Toninato,1,0,0,0,1
8480014,Gabriel,Vilardi,1,0,0,1,0
8479359,Beck,Malenstyn,1,0,0,0,1
8481580,Connor,McMichael,1,0,0,0,1
8477947,Sonny,Milano,1,0,0,0,1
8471214,Alex,Ovechkin,1,0,0,1,0
8478451,Ethan,Bear,0,0,0,1,0
8477520,Jean-Sebastien,Dea,1,0,0,1,0
8483597,Milos,Kelemen,1,0,0,0,1
8479252,Dan,Renouf,0,0,0,0,1
8479320,Max,Lajoie,0,0,0,0,1
8480292,Carson,Meyer,1,0,0,1,0
8478967,Lane,Pederson,1,0,0,1,0
8476903,Jon,Gillies,0,0,1,0,1
8482679,Matt,Coronato,1,0,0,1,0
8476915,Jujhar,Khaira,1,0,0,0,1
8483619,Filip,Roos,0,0,0,0,1
8477320,Anton,Blidh,1,0,0,0,1
8479573,Mikhail,Maltsev,1,0,0,0,1
8480226,Marián,Studenic,1,0,0,0,1
8474218,Jason,Demers,0,0,0,1,0
8474610,Zac,Dalpe,1,0,0,1,0
8480072,Lias,Andersson,1,0,0,0,1
8481532,Alex,Turcotte,1,0,0,0,1
8479329,Frederic,Allard,0,0,0,1,0
8482964,Arber,Xhekaj,0,0,0,0,1
8481740,Tyce,Thompson,1,0,0,1,0
8484256,Jake,Livingstone,0,0,0,1,0
8479526,Otto,Koivula,1,0,0,0,1
8470610,Zach,Parise,1,0,0,0,1
8481102,Egor,Sokolov,1,0,0,1,0
8478173,Hayden,Hodgson,1,0,0,1,0
8479550,Tanner,Laczynski,1,0,0,1,0
8481521,Ronnie,Attard,0,0,0,1,0
8478433,Felix,Sandstrom,0,0,1,0,1
8476326,Josh,Archibald,1,0,0,1,0
8474053,Logan,Couture,1,0,0,0,1
8478067,Oskar,Lindblom,1,0,0,0,1
8480160,Radim,Simek,0,0,0,0,1
8476410,Josh,Leivo,1,0,0,1,0
8477463,Steven,Santini,0,0,0,1,0
8479026,Philippe,Myers,0,0,0,1,0
8474190,Wayne,Simmonds,1,0,0,1,0
8473548,Phil,Kessel,1,0,0,1,0
8478506,Gabriel,Carlsson,0,0,0,0,1
8470612,Ryan,Getzlaf,1,0,0,1,0
8479341,Cam,Dineen,0,0,0,0,1
8474667,Harri,Sateri,0,0,1,0,1
8482072,Jack,Ahcan,0,0,0,0,1
8475186,John,Moore,0,0,0,0,1
8479419,Brett,Murray,1,0,0,0,1
8480231,Jakub,Galvas,0,0,0,0,1
8476870,Stefan,Matteau,1,0,0,0,1
8477290,Michael,Raffl,1,0,0,0,1
8476505,Turner,Elson,1,0,0,0,1
8474722,Luke,Witkowski,0,0,0,1,0
8478442,Cooper,Marody,1,0,0,1,0
8476343,Garret,Sparks,0,0,1,0,1
8476975,Cedric,Paquette,1,0,0,0,1
8478838,Lukas,Vejdemo,1,0,0,0,1
8471679,Carey,Price,0,0,1,0,1
