season,team,player_id,headshot,firstName,lastName,shootsCatches,sweaterNumber,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,pos_F,pos_D,pos_G,hand_R,hand_L
2024,CGY,8482470,https://assets.nhle.com/mugs/nhl/20232024/CGY/8482470.png,Ilya,Solovyov,L,98,75,208,191,94,2000-07-20,Mogilev,BLR,"",0,1,0,0,1
2024,BOS,8481556,https://assets.nhle.com/mugs/nhl/20232024/BOS/8481556.png,John,Beecher,L,19,75,216,191,98,2001-04-05,Elmira,USA,New York,1,0,0,0,1
2024,CAR,8484293,https://assets.nhle.com/mugs/nhl/20232024/CAR/8484293.png,Yaniv,Perets,L,60,73,181,185,82,2000-03-04,Dollard-des-Ormeaux,CAN,Quebec,0,0,1,0,1
2024,FLA,8484304,https://assets.nhle.com/mugs/nhl/20232024/FLA/8484304.png,Uvis,Balinskis,L,26,72,196,183,89,1996-08-01,Ventspils,LAT,"",0,1,0,0,1
2024,COL,8484258,https://assets.nhle.com/mugs/nhl/20232024/COL/8484258.png,Sam,Malinski,R,70,71,190,180,86,1998-07-27,Lakeville,USA,Minnesota,0,1,0,1,0
2024,MTL,8482749,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482749.png,Joshua,Roy,L,89,72,192,183,87,2003-08-06,Saint-Georges-De-Beauce,CAN,Quebec,1,0,0,0,1
2024,PHI,8482126,https://assets.nhle.com/mugs/nhl/20232024/PHI/8482126.png,Emil,Andrae,L,36,69,189,175,86,2002-02-23,Vastervik,SWE,"",0,1,0,0,1
2024,SEA,8482751,https://assets.nhle.com/mugs/nhl/20232024/SEA/8482751.png,Ryan,Winterton,R,26,74,175,188,79,2003-09-04,Markham,CAN,Ontario,1,0,0,1,0
2024,COL,8484255,https://assets.nhle.com/mugs/nhl/20232024/COL/8484255.png,Jason,Polin,R,41,72,198,183,90,1999-06-17,Holt,USA,Michigan,1,0,0,1,0
2024,WSH,8479522,https://assets.nhle.com/mugs/nhl/20232024/WSH/8479522.png,Hardy,Haman Aktell,L,4,75,198,191,90,1998-07-04,Kage,SWE,"",0,1,0,0,1
2024,FLA,8482088,https://assets.nhle.com/mugs/nhl/20232024/FLA/8482088.png,Justin,Sourdif,R,24,71,180,180,82,2002-03-24,Richmond,CAN,British Columbia,1,0,0,1,0
2024,TBL,8482201,https://assets.nhle.com/mugs/nhl/20232024/TBL/8482201.png,Gage,Goncalves,L,93,71,188,180,85,2001-01-16,Mission,CAN,British Columbia,1,0,0,0,1
2024,OTT,8484314,https://assets.nhle.com/mugs/nhl/20232024/OTT/8484314.png,Jiri,Smejkal,L,13,76,209,193,95,1996-11-05,České Budějovice,CZE,"",1,0,0,0,1
2024,BUF,8482765,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482765.png,Isak,Rosen,L,63,72,173,183,78,2003-03-15,Solna,SWE,"",1,0,0,0,1
2024,BOS,8483567,https://assets.nhle.com/mugs/nhl/20232024/BOS/8483567.png,Georgii,Merkulov,L,42,71,176,180,80,2000-10-10,Ryazan,RUS,"",1,0,0,0,1
2024,OTT,8482162,https://assets.nhle.com/mugs/nhl/20232024/OTT/8482162.png,Roby,Jarventie,L,52,74,184,188,83,2002-08-08,Tampere,FIN,"",1,0,0,0,1
2024,WSH,8483491,https://assets.nhle.com/mugs/nhl/20232024/WSH/8483491.png,Ivan,Miroshnichenko,R,63,73,185,185,84,2004-02-04,Ussuriysk,RUS,"",1,0,0,1,0
2024,NJD,8481578,https://assets.nhle.com/mugs/nhl/20232024/NJD/8481578.png,Graeme,Clarke,R,95,72,175,183,79,2001-04-24,Waconia,USA,Minnesota,1,0,0,1,0
