season,team,player_id,headshot,firstName,lastName,positionCode,shootsCatches,sweaterNumber,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,pos_F,pos_D,pos_G,hand_R,hand_L
2021,ANA,8475461,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475461.png,Andrew,Agozzino,L,L,26,70,187,178,85,1991-01-03,Kleinburg,CAN,Ontario,1,0,0,0,1
2021,ANA,8470655,https://assets.nhle.com/mugs/nhl/20202021/ANA/8470655.png,David,Backes,R,R,21,75,215,191,98,1984-05-01,Minneapolis,USA,Minnesota,1,0,0,1,0
2021,ANA,8475842,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475842.png,Sam,Carrick,C,R,39,72,200,183,91,1992-02-04,Markham,CAN,Ontario,1,0,0,1,0
2021,ANA,8480031,https://assets.nhle.com/mugs/nhl/20202021/ANA/8480031.png,Max,Comtois,L,L,44,74,210,188,95,1999-01-08,Longueuil,CAN,Quebec,1,0,0,0,1
2021,ANA,8478029,https://assets.nhle.com/mugs/nhl/20202021/ANA/8478029.png,Chase,De Leo,L,L,7,69,185,175,84,1995-10-25,La Mirada,USA,California,1,0,0,0,1
2021,ANA,8475235,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475235.png,Nicolas,Deslauriers,L,L,20,73,220,185,100,1991-02-22,LaSalle,CAN,Quebec,1,0,0,0,1
2021,ANA,8470612,https://assets.nhle.com/mugs/nhl/20202021/ANA/8470612.png,Ryan,Getzlaf,C,R,15,76,220,193,100,1985-05-10,Regina,CAN,Saskatchewan,1,0,0,1,0
2021,ANA,8474683,https://assets.nhle.com/mugs/nhl/20202021/ANA/8474683.png,Derek,Grant,C,L,38,75,210,191,95,1990-04-20,Abbotsford,CAN,British Columbia,1,0,0,0,1
2021,ANA,8478046,https://assets.nhle.com/mugs/nhl/20202021/ANA/8478046.png,Danton,Heinen,L,L,43,73,188,185,85,1995-07-05,Langley,CAN,British Columbia,1,0,0,0,1
2021,ANA,8474641,https://assets.nhle.com/mugs/nhl/20202021/ANA/8474641.png,Adam,Henrique,C,L,14,72,195,183,88,1990-02-06,Brantford,CAN,Ontario,1,0,0,0,1
2021,ANA,8479368,https://assets.nhle.com/mugs/nhl/20202021/ANA/8479368.png,Max,Jones,L,L,49,75,216,191,98,1998-02-17,Rochester,USA,Michigan,1,0,0,0,1
2021,ANA,8479968,https://assets.nhle.com/mugs/nhl/20202021/ANA/8479968.png,Vinni,Lettieri,C,R,28,70,184,178,83,1995-02-06,Excelsior,USA,Minnesota,1,0,0,1,0
2021,ANA,8480806,https://assets.nhle.com/mugs/nhl/20202021/ANA/8480806.png,Isac,Lundestrom,C,L,21,72,193,183,88,1999-11-06,Gallivare,SWE,"",1,0,0,0,1
2021,ANA,8477947,https://assets.nhle.com/mugs/nhl/20202021/ANA/8477947.png,Sonny,Milano,L,L,12,72,194,183,88,1996-05-12,Massapequa,USA,New York,1,0,0,0,1
2021,ANA,8476483,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476483.png,Rickard,Rakell,L,R,67,73,195,185,88,1993-05-05,Sundbyberg,SWE,"",1,0,0,1,0
2021,ANA,8477240,https://assets.nhle.com/mugs/nhl/20202021/ANA/8477240.png,Carter,Rowney,C,R,24,74,208,188,94,1989-05-10,Grande Prairie,CAN,Alberta,1,0,0,1,0
2021,ANA,8475164,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475164.png,Jakob,Silfverberg,R,R,33,73,207,185,94,1990-10-13,Gavle,SWE,"",1,0,0,1,0
2021,ANA,8479351,https://assets.nhle.com/mugs/nhl/20202021/ANA/8479351.png,Sam,Steel,C,L,18,71,184,180,83,1998-02-03,Ardrossan,CAN,Alberta,1,0,0,0,1
2021,ANA,8478873,https://assets.nhle.com/mugs/nhl/20202021/ANA/8478873.png,Troy,Terry,R,R,19,72,185,183,84,1997-09-10,Denver,USA,Colorado,1,0,0,1,0
2021,ANA,8480186,https://assets.nhle.com/mugs/nhl/20202021/ANA/8480186.png,Alexander,Volkov,R,L,92,73,195,185,88,1997-08-02,Moscow,RUS,"",1,0,0,0,1
2021,ANA,8481533,https://assets.nhle.com/mugs/nhl/20202021/ANA/8481533.png,Trevor,Zegras,C,L,11,72,185,183,84,2001-03-20,Bedford,USA,New York,1,0,0,0,1
2021,ANA,8481122,https://assets.nhle.com/mugs/nhl/20202021/ANA/8481122.png,Simon,Benoit,D,L,13,75,203,191,92,1998-09-19,Laval,CAN,Quebec,0,0,0,0,1
2021,ANA,8482142,https://assets.nhle.com/mugs/nhl/20202021/ANA/8482142.png,Jamie,Drysdale,D,R,6,71,183,180,83,2002-04-08,Toronto,CAN,Ontario,0,0,0,1,0
2021,ANA,8477938,https://assets.nhle.com/mugs/nhl/20202021/ANA/8477938.png,Haydn,Fleury,D,L,51,76,208,193,94,1996-07-08,Carlyle,CAN,Saskatchewan,0,0,0,0,1
2021,ANA,8475764,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475764.png,Cam,Fowler,D,L,4,74,215,188,98,1991-12-05,Windsor,CAN,Ontario,0,0,0,0,1
2021,ANA,8475825,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475825.png,Jani,Hakanpää,D,R,28,78,225,198,102,1992-03-31,Kirkkonummi,FIN,"",0,0,0,1,0
2021,ANA,8477018,https://assets.nhle.com/mugs/nhl/20202021/ANA/8477018.png,Ben,Hutton,D,L,7,75,201,191,91,1993-04-20,Brockville,CAN,Ontario,0,0,0,0,1
2021,ANA,8478491,https://assets.nhle.com/mugs/nhl/20202021/ANA/8478491.png,Jacob,Larsson,D,L,32,74,193,188,88,1997-04-29,Ljungby,SWE,"",0,0,0,0,1
2021,ANA,8476854,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476854.png,Hampus,Lindholm,D,L,47,76,215,193,98,1994-01-20,Helsingborg,SWE,"",0,0,0,0,1
2021,ANA,8479372,https://assets.nhle.com/mugs/nhl/20202021/ANA/8479372.png,Josh,Mahura,D,L,76,72,185,183,84,1998-05-05,St. Albert,CAN,Alberta,0,0,0,0,1
2021,ANA,8476312,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476312.png,Josh,Manson,D,R,42,75,218,191,99,1991-10-07,Hinsdale,USA,Illinois,0,0,0,1,0
2021,ANA,8474031,https://assets.nhle.com/mugs/nhl/20202021/ANA/8474031.png,Kevin,Shattenkirk,D,R,22,72,212,183,96,1989-01-29,New Rochelle,USA,New York,0,0,0,1,0
2021,ANA,8476407,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476407.png,Andy,Welinski,D,R,45,74,212,188,96,1993-04-27,Duluth,USA,Minnesota,0,0,0,1,0
2021,ANA,8476434,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476434.png,John,Gibson,G,L,36,74,210,188,95,1993-07-14,Pittsburgh,USA,Pennsylvania,0,0,1,0,1
2021,ANA,8468011,https://assets.nhle.com/mugs/nhl/20202021/ANA/8468011.png,Ryan,Miller,G,L,30,74,170,188,77,1980-07-17,East Lansing,USA,Michigan,0,0,1,0,1
2021,ANA,8476932,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476932.png,Anthony,Stolarz,G,L,41,78,243,198,110,1994-01-20,Edison,USA,New Jersey,0,0,1,0,1
2021,ARI,8473544,https://assets.nhle.com/mugs/nhl/20202021/ARI/8473544.png,Derick,Brassard,C,L,16,73,200,185,91,1987-09-22,Hull,CAN,Quebec,1,0,0,0,1
2021,ARI,8478047,https://assets.nhle.com/mugs/nhl/20202021/ARI/8478047.png,Michael,Bunting,L,L,58,72,192,183,87,1995-09-17,Scarborough,CAN,Ontario,1,0,0,0,1
2021,ARI,8479465,https://assets.nhle.com/mugs/nhl/20202021/ARI/8479465.png,Drake,Caggiula,C,L,91,70,176,178,80,1994-06-20,Pickering,CAN,Ontario,1,0,0,0,1
