player_id,firstName,lastName,pos_F,pos_D,pos_G,hand_R,hand_L
8482470,Ilya,Solovyov,0,1,0,0,1
8481556,John,Beecher,1,0,0,0,1
8484293,Yaniv,Perets,0,0,1,0,1
8484304,Uvis,Balinskis,0,1,0,0,1
8484258,Sam,Malinski,0,1,0,1,0
8482749,Joshua,Roy,1,0,0,0,1
8482126,Emil,Andrae,0,1,0,0,1
8482751,Ryan,Winterton,1,0,0,1,0
8484255,Jason,Polin,1,0,0,1,0
8479522,Hardy,Haman Aktell,0,1,0,0,1
8482088,Justin,Sourdif,1,0,0,1,0
8482201,Gage,Goncalves,1,0,0,0,1
8484314,Jiri,Smejkal,1,0,0,0,1
8482765,Isak,Rosen,1,0,0,0,1
8483567,Georgii,Merkulov,1,0,0,0,1
8482162,Roby,Jarventie,1,0,0,0,1
8483491,Ivan,Miroshnichenko,1,0,0,1,0
8481578,Graeme,Clarke,1,0,0,1,0
8481534,Raphael,Lavoie,1,0,0,1,0
8480992,Magnus,Chrona,0,0,1,0,1
8483482,Tristan,Luneau,0,1,0,1,0
8482141,Lukas,Cormier,0,1,0,0,1
8483468,Jiri,Kulich,1,0,0,0,1
8478956,Samuel,Laberge,1,0,0,0,1
8482144,Jack,Thompson,0,1,0,1,0
8477035,Matt,Tomkins,0,0,1,0,1
8483401,Marc,Johnstone,1,0,0,1,0
8482411,Hunter,Shepard,0,0,1,0,1
8483398,Declan,Carlile,0,1,0,0,1
8482747,Brennan,Othmann,1,0,0,0,1
8482094,Daemon,Hunt,0,1,0,0,1
8484321,Nikolas,Matinpalo,0,1,0,1,0
8481743,Marc,Del Gaizo,0,1,0,0,1
8481726,Adam,Edstrom,1,0,0,0,1
8483512,Matt,Savoie,1,0,0,1,0
8482511,Mason,Lohrei,0,1,0,0,1
8482476,Emil,Heineman,1,0,0,0,1
8482102,Vasily,Ponomarev,1,0,0,0,1
8484259,Ondrej,Pavel,1,0,0,0,1
8482165,Yan,Kuznetsov,0,1,0,0,1
8483489,Fraser,Minten,1,0,0,0,1
8481065,Angus,Crookshank,1,0,0,0,1
