game_id,season,game_date,start_time_ET,game_type_code,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,away_team_id,away_score,away_team_name,home_score,home_team_id,home_team_name,pbp_link,shift_link,start_time_UTC
2015030416,20152016,2016-06-12,20:00,P,Final,7,Final,7,5,3,Pittsburgh Penguins,1,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030416/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030416,2016-06-13T00:00:00.000000+0000
2015030415,20152016,2016-06-09,20:00,P,Final,7,Final,7,28,4,San Jose Sharks,2,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030415/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030415,2016-06-10T00:00:00.000000+0000
2015030414,20152016,2016-06-06,20:00,P,Final,7,Final,7,5,3,Pittsburgh Penguins,1,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030414/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030414,2016-06-07T00:00:00.000000+0000
2015030413,20152016,2016-06-04,20:00,P,Final,7,Final,7,5,2,Pittsburgh Penguins,3,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030413/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030413,2016-06-05T00:00:00.000000+0000
2015030412,20152016,2016-06-01,20:00,P,Final,7,Final,7,28,1,San Jose Sharks,2,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030412/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030412,2016-06-02T00:00:00.000000+0000
2015030411,20152016,2016-05-30,20:00,P,Final,7,Final,7,28,2,San Jose Sharks,3,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030411/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030411,2016-05-31T00:00:00.000000+0000
2015030317,20152016,2016-05-26,20:00,P,Final,7,Final,7,14,1,Tampa Bay Lightning,2,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030317/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030317,2016-05-27T00:00:00.000000+0000
2015030326,20152016,2016-05-25,21:00,P,Final,7,Final,7,19,2,St. Louis Blues,5,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030326/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030326,2016-05-26T01:00:00.000000+0000
2015030316,20152016,2016-05-24,20:00,P,Final,7,Final,7,5,5,Pittsburgh Penguins,2,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2015030316/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030316,2016-05-25T00:00:00.000000+0000
2015030325,20152016,2016-05-23,20:00,P,Final,7,Final,7,28,6,San Jose Sharks,3,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030325/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030325,2016-05-24T00:00:00.000000+0000
